district,missing_rate,female_ratio,literacy_rate,workers_ratio,male_total,female_total,child_total,risk_score,state
ukhrul,0.0,0.48522266546375503,0.7056000608702269,0.4778801943499386,0.0,0.0,0.0,0.8903293079781843,Manipur
umaria,0.0023665669485810298,0.487134707905912,0.5531873974421411,0.4493019086230803,209.0,152.0,224.0,0.8213367949655792,Madhya Pradesh
una,0.001865323922303253,0.4940413260088301,0.766952624176617,0.4131948508460722,134.0,96.0,108.0,0.8883788691112565,Himachal Pradesh
unnao,0.0,0.475580907917244,0.5705838467594078,0.3618440164884005,0.0,0.0,0.0,0.507933209545146,Uttar Pradesh
upper siang,0.0,0.4705832389580974,0.5151472253680635,0.49954699886749715,0.0,0.0,0.0,0.8608477484200336,Arunachal Pradesh
upper subansiri,0.0,0.4995925606365641,0.5425893969897421,0.3998897517016585,0.0,0.0,0.0,0.8984787420895686,Arunachal Pradesh
uttar bastar kanker,0.009605506759188366,0.5015121351348103,0.608915789094201,0.5198794030504406,958.0,744.0,290.0,0.8567130482338947,Chhattisgarh
uttar dinajpur,0.003833016505375109,0.48420456155262787,0.49537765859452887,0.35769140982743036,1570.0,1157.0,544.0,0.964391209267349,West Bengal
uttara kannada,0.0036086524271383676,0.49466207523262745,0.7528036020815924,0.4234199318243018,769.0,458.0,112.0,0.7365613328412566,Karnataka
uttarkashi,0.0021896632924846807,0.4892331089473652,0.6517271256581618,0.47646976848457673,116.0,55.0,23.0,0.9133941581537167,Uttarakh
vadodara,0.0008804018986550478,0.48297422764309617,0.6945126614823319,0.4065350561956354,546.3333333333334,321.3333333333333,6.333333333333333,0.8807651502657977,Gujarat
vaishali,0.0031745915110893874,0.4722392225969458,0.5512813799974307,0.3033870182754267,1460.0,1165.0,1360.0,0.9232627633092353,Bihar
valsad,0.0018511085481531056,0.4798420334904947,0.6863294244282918,0.43574754437824725,469.0,278.0,96.0,0.8754491879610861,Gujarat
varanasi,0.0009006840737347352,0.47730755830888527,0.6537957447711228,0.3319991264240145,512.0,271.5,173.5,0.36039850904021953,Uttar Pradesh
vellore,0.0022613880289961844,0.5016455679159095,0.7046988680575896,0.429163604381847,1200.0,906.0,697.0,0.955810382068986,Tamil Nadu
vidisha,0.013646181946543937,0.4724921600548368,0.591495501670808,0.3772783823151401,2847.0,1863.0,951.0,0.8518014194789236,Madhya Pradesh
viluppuram,0.0035621505896488133,0.49670918822402554,0.6348241175666178,0.4924288923010472,1673.0,1242.0,288.0,0.9889560631271324,Tamil Nadu
virudhunagar,0.007113930631524826,0.5017685327819561,0.7201753807880191,0.4891952171871525,1909.0,1360.0,924.0,0.9424127362518097,Tamil Nadu
visakhapatnam,0.0022505184610804624,0.5014880241384109,0.598577258273864,0.4404707605412683,1383.0,901.5,450.0,0.9694922611274437,Hra Pradesh
vizianagaram,0.0025366293261328637,0.5045895156013673,0.5282157106455435,0.4939112141998589,886.0,521.0,197.0,0.9999965936487991,Hra Pradesh
wardha,0.022009978582943228,0.48616362258163215,0.7837318396585418,0.4675946782454139,4296.0,2477.5,454.0,0.46172299238456666,Maharashtra
washim,0.0057267336519399295,0.4818553910922517,0.7266505730228207,0.47595308897724614,1042.0,580.0,0.0,0.3258158165328106,Maharashtra
wayanad,0.005051933633573005,0.5085953365466958,0.7897837097208289,0.416037043380392,619.0,358.0,195.0,0.9381022755956815,Kerala
west,0.029470321609138192,0.47595943035033744,0.727971385941041,0.42969851823553334,1122.0,683.6666666666666,396.3333333333333,0.6395512681853809,Sikkim
west garo hills,0.0,0.4960927480720234,0.5576045677617129,0.3974764142510932,0.0,0.0,0.0,0.9350247187448665,Meghalaya
west godavari,0.002055963719081968,0.5009055196311067,0.6737139716218021,0.4503752381910334,1134.0,781.0,417.0,0.9096961446503982,Hra Pradesh
west kameng,0.0,0.45018880960606095,0.5776501840446948,0.5061884284131655,0.0,0.0,0.0,0.8017664893014176,Arunachal Pradesh
west khasi hills,1.1022678283348505e-05,0.4948247670558414,0.6015683472373984,0.4259755229345357,1.0,0.0,1.3333333333333333,0.8952909237385661,Meghalaya
west siang,0.0,0.48191032652261434,0.5766784829969539,0.43800879990024405,0.0,0.0,0.0,0.8501541024793281,Arunachal Pradesh
west tripura,0.002809290408967482,0.4904049801273541,0.7888527755355822,0.4045675504812721,656.0,491.0,79.0,0.9540412440154646,Tripura
wokha,0.0,0.49198343182460336,0.7707447863751405,0.4713874343976001,0.0,0.0,0.0,0.2702696482776322,Nagal
yadgir,0.001072645613056022,0.49728044037534774,0.4343145662287496,0.4664136302437853,176.0,122.0,0.0,0.9103749016335837,Karnataka
yamunanagar,0.005247756029744347,0.4673733018724186,0.6855983956580644,0.3205661317487574,958.5,549.0,361.5,0.9093818324731848,Haryana
yavatmal,0.005939905508318022,0.4878114147285983,0.729552711275785,0.48911572428858135,2378.0,1518.0,0.0,0.3719447924496933,Maharashtra
zunheboto,9.008647322430362e-05,0.49404292504102815,0.7309121393607423,0.5645616203812244,3.0,0.0,4.0,0.2644939518057186,Nagal
